source_kind,logical_path,article_member,workspace_relative_path,sha256,bytes,binding,use
archive_member_and_workspace_copy,raw/software/results/ciciot2023/train_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/train_X.npy,tnsm_experiments_v1/results/ciciot2023/train_X.npy,0f868da31e2e33f446b9a0b7fc36018753a105bf3bcbfbd96ebaf82714c4ddb5,31200128,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/ciciot2023/train_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/train_pool.npz,tnsm_experiments_v1/results/ciciot2023/train_pool.npz,759009b56ca0bbf0a4e10d69465c9df12d8b080feb50a1ed1d0ac91b1bbf7f26,15696584,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/ciciot2023/validation_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/validation_X.npy,tnsm_experiments_v1/results/ciciot2023/validation_X.npy,b58ac1be99959b39cb9409c0980e58c6be063d245b53d983408aa79fe971fcbe,11966732,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/ciciot2023/validation_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/validation_pool.npz,tnsm_experiments_v1/results/ciciot2023/validation_pool.npz,93aefa6863c94011203b2f89111c5a9f0e39384b498b18aca9dbb2d2e854ca39,6111471,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/classification_summary.json,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/classification_summary.json,tnsm_experiments_v1/results/classification_summary.json,4a991bc47abaa16e6adfa264af4e0f6fb44e9bc5e759191304da03b4cbb2e509,12698,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted published main test metrics retained unchanged
archive_member_and_workspace_copy,raw/software/results/n_baiot/split_manifest.json,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/split_manifest.json,tnsm_experiments_v1/results/n_baiot/split_manifest.json,ae316d2705ba23fb97257fef318852843ac06314983fd998142cedd8ec0388a9,44015,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,fixed split identity and accepted row counts
archive_member_and_workspace_copy,raw/software/results/n_baiot/test_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/test_X.npy,tnsm_experiments_v1/results/n_baiot/test_X.npy,8e85e292c6f47700a46891ab8c7da4bbe9eec91a3089ed91b6994220a3ad202b,38343428,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/n_baiot/test_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/test_pool.npz,tnsm_experiments_v1/results/n_baiot/test_pool.npz,e6a3fde0120c94553154805d42741ac581b3ccc7772d281fd54940aa887676ce,24956116,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/n_baiot/test_predictions.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/test_predictions.npz,tnsm_experiments_v1/results/n_baiot/test_predictions.npz,c015859b4a403e154cd430fa7b8702a48bb3d88bfe517831da87f06fa2135cd8,4303512,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted cached test scores; no model inference performed
archive_member_and_workspace_copy,raw/software/results/n_baiot/train_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/train_X.npy,tnsm_experiments_v1/results/n_baiot/train_X.npy,356c1b9ee69afad8ed691e2409b505e35bf589da5ae3ebd43aaba8ad0032b613,92000128,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/n_baiot/train_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/train_pool.npz,tnsm_experiments_v1/results/n_baiot/train_pool.npz,ba7fed15e006a55aede9ee196602c5c80278ca0629c84ab412fb323f458dde61,57452319,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/n_baiot/validation_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/validation_X.npy,tnsm_experiments_v1/results/n_baiot/validation_X.npy,c15d3c35a54091a4df68afa17d5c8d299a2eaa936e13b848f50ce8a51d5b3d8d,40038068,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/n_baiot/validation_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/n_baiot/validation_pool.npz,tnsm_experiments_v1/results/n_baiot/validation_pool.npz,d2470161303042417850c70842d7cae313160446351a2c86d169263c7c84f4ee,23187436,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/ton_iot/split_manifest.json,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/split_manifest.json,tnsm_experiments_v1/results/ton_iot/split_manifest.json,54dc18ddc4d857c7c625ad9d3a3fa24fb575a3749d16860f42f4424c84d7e2b3,84240,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,fixed split identity and accepted row counts
archive_member_and_workspace_copy,raw/software/results/ton_iot/test_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/test_X.npy,tnsm_experiments_v1/results/ton_iot/test_X.npy,d50a66eceb3708c329bb394cdd5d4469e643f3250d1bda5d29ad0869b19e5873,6837088,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/ton_iot/test_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/test_pool.npz,tnsm_experiments_v1/results/ton_iot/test_pool.npz,3cd16eaa00a8f2fc226188e7e25542570219ab5ae6750c96f2b1540576fac8a3,1168538,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/ton_iot/test_predictions.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/test_predictions.npz,tnsm_experiments_v1/results/ton_iot/test_predictions.npz,533af761c775427369ea24d603e29e888da734230fb436e8f9404d1ef5d0db98,1036349,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted cached test scores; no model inference performed
archive_member_and_workspace_copy,raw/software/results/ton_iot/train_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/train_X.npy,tnsm_experiments_v1/results/ton_iot/train_X.npy,730280af6272cc766b53ce5b5cf92e6cfc218679a7a9782124540c51961c985c,42086192,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/ton_iot/train_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/train_pool.npz,tnsm_experiments_v1/results/ton_iot/train_pool.npz,c87ebdab8ad1ba818702c5bc31d7b3f13b6921c3b3d97510a9f243dbfe351e2c,6400133,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/ton_iot/validation_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/validation_X.npy,tnsm_experiments_v1/results/ton_iot/validation_X.npy,cd7ac52e824227715d3c26d6ee332c70555eb3179bcecaca4acf41ea3f93944a,6944096,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/ton_iot/validation_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ton_iot/validation_pool.npz,tnsm_experiments_v1/results/ton_iot/validation_pool.npz,da4f045a085cfd092cccd04c28c260b211ed3c32ddd330316025b1d1c3b70a39,1321635,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/static_replay.py,TNSM_ARTICLE_DATA_20260907_V1/raw/software/static_replay.py,tnsm_experiments_v1/static_replay.py,d998ce644378d8358024f9375653c51f350fe7ff3a8cb397c2f60bcb756858d8,3350,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted static replay provenance; entry point is not executed
archive_member_bound_by_accepted_archive,raw/materialization/MANIFEST_SHA256.txt,TNSM_ARTICLE_DATA_20260907_V1/raw/materialization/MANIFEST_SHA256.txt,,d79caa7ed64d1e37c0599b12bbc0af925a1c469090dfab8f104dcd6ffb9dbd1e,95913,actual member SHA-256 plus immutable accepted whole-archive SHA-256; omitted by old root manifest,explicitly register old root-manifest omission so the derived provenance does not hide it
archive_member_bound_by_accepted_archive,raw/materialization/materialization_run_v2/MANIFEST_SHA256.txt,TNSM_ARTICLE_DATA_20260907_V1/raw/materialization/materialization_run_v2/MANIFEST_SHA256.txt,,0824acff9ebd409a6db15043deb6b4981feef72fd736cc4666aa8aa37dfeb652,1689,actual member SHA-256 plus immutable accepted whole-archive SHA-256; omitted by old root manifest,explicitly register old root-manifest omission so the derived provenance does not hide it
archive_root_manifest,MANIFEST_SHA256.txt,TNSM_ARTICLE_DATA_20260907_V1/MANIFEST_SHA256.txt,,5492855ddd90ee4eebc52924318f7d0f9cc43a10009732aef0e8aef7570cc945,43245,actual ZIP member equals independently recorded SHA-256,member coverage and per-input digest authority
